Borough,Avg-HousePrice,Latitude,Longitude
Omerli Dam,20.63,40.976814668623994, 29.3424955365078
Pabucdere,6.48,41.63827848434883, 28.064477479233556
Sazlidere Dam,5.38,41.1260195271978, 28.68925144402381
Buyukcekmece Dam,17.42,41.04510440904175, 28.57046510895536
Alibeykoy Dam,30.58,41.09482439308345, 28.921747560758195
Terkos,22.82,41.30763300804255, 28.665048648290213
Kazandere,3.44,41.61720578393293, 28.054774682938625
Elmali Dam,24.17,41.07472168603783, 29.10329999864046
Darlik Dam,49.84,41.11409054360297, 29.569973904659424
Istrancalar,23.18,41.58126135763143, 28.10031897686208
